table	id	label	disc	prec	theme	tier	gap_status	gap_desc	date_realized	excess_cum	excess_peak	closed_date	dormant_since	relit_date	relit_count
yuantu_buy_signals	1	concept_OpticalComponentShortage2026	20260808	day		unmatched	no_anchor	无锚未跟踪（情绪周期类或覆盖洞）							
yuantu_buy_signals	2	concept_DomesticAIChipPCBDemand	20260525	day	AI算力/AI硬件/科技硬件	alias	closing	二段兑现中·回撤近警戒（峰值+17.7%→现-5.5%）	20260616	-0.0547	0.1772	20260702	20260702	20260807	1
yuantu_buy_signals	3	concept_HeliumSupplyDisruption2026	20260705	day	半导体/芯片/半导体材料	alias	closing	二段兑现中·回撤近警戒（峰值+8.6%→现-17.0%）	20260709	-0.1696	0.0863	20260713	20260713	20260807	1
yuantu_buy_signals	4	concept_QatarHeliumSupplyDisruption	20260705	day		unmatched	no_anchor	无锚未跟踪（情绪周期类或覆盖洞）							
yuantu_buy_signals	5	concept_HeavyWaterSupplyDisruption2026	20260518	day		unmatched	no_anchor	无锚未跟踪（情绪周期类或覆盖洞）							
yuantu_buy_signals	6	concept_DCIDemandGap2027	20260617	day	光模块/CPO/光通信/光纤	hint	dormant	暗态·深回吐候二段（峰值+5.2%→现-19.2%）	20260618	-0.1915	0.052	20260629	20260629		0
yuantu_buy_signals	7	concept_OpticalTransceiverSupplyShortage	20260518	day	光模块/CPO/光通信/光纤	alias	dormant	暗态·深回吐候二段（峰值+19.1%→现-5.3%）·已点亮1次	20260528	-0.0527	0.1908	20260629	20260612	20260618	1
yuantu_buy_signals	8	concept_ChinaAIComputingShortage2026	20260518	day	光模块/CPO/光通信/光纤	alias	dormant	暗态·深回吐候二段（峰值+19.1%→现-5.3%）·已点亮1次	20260528	-0.0527	0.1908	20260629	20260612	20260618	1
yuantu_buy_signals	9	concept_DCISupplyBottleneckDSP2027	20260518	day	光模块/CPO/光通信/光纤	hint	dormant	暗态·深回吐候二段（峰值+19.1%→现-5.3%）·已点亮1次	20260528	-0.0527	0.1908	20260629	20260612	20260618	1
yuantu_buy_signals	10	concept_PumpLaserChipSupplyBottleneck202	20260518	day	半导体/芯片/半导体材料	alias	closing	二段兑现中·回撤近警戒（峰值+35.5%→现+9.7%）	20260519	0.0967	0.3555	20260713	20260529	20260807	3
