table	id	label	disc	prec	theme	tier	gap_status	gap_desc	date_realized	excess_cum	excess_peak	closed_date	dormant_since	relit_date	relit_count
yuantu_buy_signals	1	concept_OpticalComponentShortage2026	20260526	day		unmatched	no_anchor	无锚未跟踪（情绪周期类或覆盖洞）							
yuantu_buy_signals	2	concept_DomesticAIChipPCBDemand	20260525	day	AI算力/AI硬件/科技硬件	alias	closing	主升兑现中（19日，累计+15.2%，峰值+16.0%）	20260602	0.1518	0.1601				0
yuantu_buy_signals	3	concept_HeliumSupplyDisruption2026	20260518	day	半导体/芯片/半导体材料	alias	closing	二段主升兑现中（19日，累计+34.0%，峰值+34.0%）	20260602	0.3397	0.3397	20260605	20260605	20260618	1
yuantu_buy_signals	4	concept_QatarHeliumSupplyDisruption	20260518	day		unmatched	no_anchor	无锚未跟踪（情绪周期类或覆盖洞）							
yuantu_buy_signals	5	concept_HeavyWaterSupplyDisruption2026	20260518	day		unmatched	no_anchor	无锚未跟踪（情绪周期类或覆盖洞）							
yuantu_buy_signals	6	concept_DCIDemandGap2027	20260617	day	光模块/CPO/光通信/光纤	hint	open	潜伏期（发现7日未启动）		-0.0215	0.052				0
yuantu_buy_signals	7	concept_OpticalTransceiverSupplyShortage	20260518	day	光模块/CPO/光通信/光纤	alias	dormant	暗态·已兑现候二段（峰值+19.1%→现+11.7%）·已点亮1次	20260602	0.1173	0.1908	20260629	20260612	20260618	1
yuantu_buy_signals	8	concept_ChinaAIComputingShortage2026	20260518	day	光模块/CPO/光通信/光纤	alias	dormant	暗态·已兑现候二段（峰值+19.1%→现+11.7%）·已点亮1次	20260602	0.1173	0.1908	20260629	20260612	20260618	1
yuantu_buy_signals	9	concept_DCISupplyBottleneckDSP2027	20260518	day	光模块/CPO/光通信/光纤	hint	dormant	暗态·已兑现候二段（峰值+19.1%→现+11.7%）·已点亮1次	20260602	0.1173	0.1908	20260629	20260612	20260618	1
yuantu_buy_signals	10	concept_PumpLaserChipSupplyBottleneck202	20260518	day	半导体/芯片/半导体材料	alias	closing	二段主升兑现中（19日，累计+34.0%，峰值+34.0%）	20260602	0.3397	0.3397	20260605	20260605	20260618	1
yuantu_buy_signals	11	concept_ITLALaserSupplyBottleneck	20260518	day	光模块/CPO/光通信/光纤	hint	dormant	暗态·已兑现候二段（峰值+19.1%→现+11.7%）·已点亮1次	20260602	0.1173	0.1908	20260629	20260612	20260618	1
yuantu_buy_signals	12	concept_ABFSubstrateSupplyTightness	20260518	day	AI算力/AI硬件/科技硬件	hint	closing	主升兑现中（19日，累计+22.9%，峰值+23.7%）	20260602	0.2285	0.2368				0
yuantu_buy_signals	13	concept_TaiwanPowerSystemStress	20260518	day	电力/电网/算电协同/燃气轮机	alias	dormant	暗态·深回吐候二段（峰值+7.3%→现-13.6%）	20260527	-0.136	0.0731	20260605	20260605		0
yuantu_buy_signals	14	concept_ABFSubstrateGatingFactor2027	20260518	day	AI算力/AI硬件/科技硬件	alias	closing	主升兑现中（19日，累计+22.9%，峰值+23.7%）	20260602	0.2285	0.2368				0
yuantu_buy_signals	15	concept_ABFSubstrateCycle	20260518	day	AI算力/AI硬件/科技硬件	hint	closing	主升兑现中（19日，累计+22.9%，峰值+23.7%）	20260602	0.2285	0.2368				0
yuantu_buy_signals	16	concept_ReasoningAgenticAIComputeDemand	20260518	day		unmatched	no_anchor	无锚未跟踪（情绪周期类或覆盖洞）							
yuantu_buy_signals	17	concept_SupernodeCabinetDemand2026	20260518	day		unmatched	no_anchor	无锚未跟踪（情绪周期类或覆盖洞）							
